Idő,Eseménykörnyezet,Összetevő,Esemény neve,Leírás,Eredet,IP-cím,Idő_dt,user_id,tetel_id,Uj_oszlop,hónap,hét,nap,óra,Munka_típus,lokacio,Munka_3utas,Tantervi_hét,Tantervi_hét_szám
"2025. június 18., 10:23:11",Fájl: zh_adatok,Tananyag,Megtekintett kurzusmodul,The user with id '113251' viewed the 'resource' activity with course module id '1520680'.,web,89.134.1.7,2025-06-18 10:23:11,113251,,Szamonkeres,6,25,18,10,Órai,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:38:59",Feladat: zh-A (2025.06.04),Feladat,Leadás állapota megtekintve,The user with id '113265' has viewed the submission status page for the assignment with course module id '1520466'.,web,178.27.80.202,2025-06-16 16:38:59,113265,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:38:59",Feladat: zh-A (2025.06.04),Feladat,Visszajelzés megtekintve,The user with id '113265' viewed the feedback for the user with id '113265' for the assignment with course module id '1520466'.,web,178.27.80.202,2025-06-16 16:38:59,113265,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:38:58",Feladat: zh-A (2025.06.04),Feladat,Megtekintett kurzusmodul,The user with id '113265' viewed the 'assign' activity with course module id '1520466'.,web,178.27.80.202,2025-06-16 16:38:58,113265,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:17:28",Feladat: zh (2025.06.12),Feladat,Leadás állapota megtekintve,The user with id '113367' has viewed the submission status page for the assignment with course module id '1520681'.,web,37.76.5.17,2025-06-16 16:17:28,113367,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:17:28",Feladat: zh (2025.06.12),Feladat,Visszajelzés megtekintve,The user with id '113367' viewed the feedback for the user with id '113367' for the assignment with course module id '1520681'.,web,37.76.5.17,2025-06-16 16:17:28,113367,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:17:28",Feladat: zh (2025.06.12),Feladat,Megtekintett kurzusmodul,The user with id '113367' viewed the 'assign' activity with course module id '1520681'.,web,37.76.5.17,2025-06-16 16:17:28,113367,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:15:51",Feladat: zh (2025.06.12),Feladat,Leadás állapota megtekintve,The user with id '113382' has viewed the submission status page for the assignment with course module id '1520681'.,web,90.120.141.95,2025-06-16 16:15:51,113382,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:15:51",Feladat: zh (2025.06.12),Feladat,Visszajelzés megtekintve,The user with id '113382' viewed the feedback for the user with id '113382' for the assignment with course module id '1520681'.,web,90.120.141.95,2025-06-16 16:15:51,113382,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. június 16., 16:15:50",Feladat: zh (2025.06.12),Feladat,Megtekintett kurzusmodul,The user with id '113382' viewed the 'assign' activity with course module id '1520681'.,web,90.120.141.95,2025-06-16 16:15:50,113382,,Szamonkeres,6,25,16,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
