Idő,Eseménykörnyezet,Összetevő,Esemény neve,Leírás,Eredet,IP-cím,Idő_dt,user_id,tetel_id,Uj_oszlop,hónap,hét,nap,óra,Munka_típus,lokacio,Munka_3utas,Tantervi_hét,Tantervi_hét_szám
"2025. május 22., 14:37:04",URL: Pontszámok - Összesített,URL,Megtekintett kurzusmodul,The user with id '113416' viewed the 'url' activity with course module id '1508513'.,web,37.76.53.182,2025-05-22 14:37:04,113416,,Admin,5,21,22,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 17:16:16",Fájl: Tantágyi tájékoztató,Tananyag,Megtekintett kurzusmodul,The user with id '113399' viewed the 'resource' activity with course module id '1473925'.,web,84.225.189.164,2025-05-20 17:16:16,113399,,Admin,5,21,20,17,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 17:15:33",URL: Pontszámok - Összesített,URL,Megtekintett kurzusmodul,The user with id '113399' viewed the 'url' activity with course module id '1508513'.,web,84.225.189.164,2025-05-20 17:15:33,113399,,Admin,5,21,20,17,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 17:15:22",URL: Pontszámok - Összesített,URL,Megtekintett kurzusmodul,The user with id '113399' viewed the 'url' activity with course module id '1508513'.,web,84.225.189.164,2025-05-20 17:15:22,113399,,Admin,5,21,20,17,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:01:40",Fájl: Tantágyi tájékoztató,Tananyag,Megtekintett kurzusmodul,The user with id '113416' viewed the 'resource' activity with course module id '1473925'.,web,37.76.43.33,2025-05-20 12:01:40,113416,,Admin,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:29",Feladat: zh2-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1515624'.,web,37.76.43.33,2025-05-20 12:00:29,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:29",Feladat: zh2-A,Feladat,Visszajelzés megtekintve,The user with id '113416' viewed the feedback for the user with id '113416' for the assignment with course module id '1515624'.,web,37.76.43.33,2025-05-20 12:00:29,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:28",Feladat: zh2-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1515624'.,web,37.76.43.33,2025-05-20 12:00:28,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:20",Teszt: Elmélet2_1,Biztonságos vizsgaböngésző hozzáférési szabályai,A teszthez való hozzáférést megakadályozták,The user with id '113416' has been prevented from accessing quiz with id '583353' by the Safe Exam Browser access plugin. The reason was 'Érvénytelen SEB konfigurációs kulcs'. Expected config key: '6088db79cad413d297e00c8e09da31e3481d4322d634c3b06de1cf50b3188d39'. Received config key: ''. Received browser exam key: ''.,web,37.76.43.33,2025-05-20 12:00:20,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:20",Teszt: Elmélet2_1,Teszt,Megtekintett kurzusmodul,The user with id '113416' viewed the 'quiz' activity with course module id '1515616'.,web,37.76.43.33,2025-05-20 12:00:20,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:08",Teszt: Elmélet2_2,Biztonságos vizsgaböngésző hozzáférési szabályai,A teszthez való hozzáférést megakadályozták,The user with id '113416' has been prevented from accessing quiz with id '583355' by the Safe Exam Browser access plugin. The reason was 'Érvénytelen SEB konfigurációs kulcs'. Expected config key: '9d3573c2d48ec0b16f762ecdb487f00fa7165d20e5cc5c2cac73cbb75b19f70a'. Received config key: ''. Received browser exam key: ''.,web,37.76.43.33,2025-05-20 12:00:08,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 12:00:08",Teszt: Elmélet2_2,Teszt,Megtekintett kurzusmodul,The user with id '113416' viewed the 'quiz' activity with course module id '1515631'.,web,37.76.43.33,2025-05-20 12:00:08,113416,,Szamonkeres,5,21,20,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 11:59:58",Teszt: Elmélet1,Biztonságos vizsgaböngésző hozzáférési szabályai,A teszthez való hozzáférést megakadályozták,The user with id '113416' has been prevented from accessing quiz with id '582943' by the Safe Exam Browser access plugin. The reason was 'Érvénytelen SEB konfigurációs kulcs'. Expected config key: 'f7fb1980f46d3b4fbd8c023499e74adee76e83b15a9509123b0b7ba473f82542'. Received config key: ''. Received browser exam key: ''.,web,37.76.43.33,2025-05-20 11:59:58,113416,,Szamonkeres,5,21,20,11,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 11:59:58",Teszt: Elmélet1,Teszt,Megtekintett kurzusmodul,The user with id '113416' viewed the 'quiz' activity with course module id '1503059'.,web,37.76.43.33,2025-05-20 11:59:58,113416,,Szamonkeres,5,21,20,11,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 11:58:29",URL: Pontszámok - Összesített,URL,Megtekintett kurzusmodul,The user with id '113416' viewed the 'url' activity with course module id '1508513'.,web,37.76.43.33,2025-05-20 11:58:29,113416,,Admin,5,21,20,11,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 11:58:11",Feladat: zh2-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1515624'.,web,37.76.43.33,2025-05-20 11:58:11,113416,,Szamonkeres,5,21,20,11,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 11:58:11",Feladat: zh2-A,Feladat,Visszajelzés megtekintve,The user with id '113416' viewed the feedback for the user with id '113416' for the assignment with course module id '1515624'.,web,37.76.43.33,2025-05-20 11:58:11,113416,,Szamonkeres,5,21,20,11,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 20., 11:58:10",Feladat: zh2-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1515624'.,web,37.76.43.33,2025-05-20 11:58:10,113416,,Szamonkeres,5,21,20,11,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. május 19., 14:07:08",Fájl: Tantágyi tájékoztató,Tananyag,Megtekintett kurzusmodul,The user with id '113399' viewed the 'resource' activity with course module id '1473925'.,web,146.110.170.66,2025-05-19 14:07:08,113399,,Admin,5,21,19,14,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 18., 20:01:36",Feladat: zh2-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1515624'.,web,146.110.165.253,2025-05-18 20:01:36,113416,,Szamonkeres,5,20,18,20,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 18., 20:01:36",Feladat: zh2-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1515624'.,web,146.110.165.253,2025-05-18 20:01:36,113416,,Szamonkeres,5,20,18,20,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 18., 17:51:16",Feladat: zh2-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1515624'.,web,146.110.165.253,2025-05-18 17:51:16,113416,,Szamonkeres,5,20,18,17,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 18., 17:51:16",Feladat: zh2-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1515624'.,web,146.110.165.253,2025-05-18 17:51:16,113416,,Szamonkeres,5,20,18,17,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 18., 01:34:53",Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1507356'.,web,146.110.165.253,2025-05-18 01:34:53,113416,,Hazi,5,20,18,1,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 18., 01:34:53",Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1507356'.,web,146.110.165.253,2025-05-18 01:34:53,113416,,Hazi,5,20,18,1,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 17., 22:33:30",Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1507356'.,web,146.110.165.253,2025-05-17 22:33:30,113416,,Hazi,5,20,17,22,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 17., 22:33:30",Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1507356'.,web,146.110.165.253,2025-05-17 22:33:30,113416,,Hazi,5,20,17,22,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 17., 22:31:51",Feladat: zh2-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1515624'.,web,146.110.165.253,2025-05-17 22:31:51,113416,,Szamonkeres,5,20,17,22,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. május 17., 22:31:51",Feladat: zh2-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1515624'.,web,146.110.165.253,2025-05-17 22:31:51,113416,,Szamonkeres,5,20,17,22,Otthoni,Egyetemen,Otthoni,Ismeretlen,
